product_id,sku,product_name,brand,producer,product_type,category,sub_category,country,region,subregion,appellation,grape_variety,grape_class,wine_style,spirit_style,flavor_profile,food_pairing,alcohol,vintage,bottle_size,price_segment,critic_score,critic_source,taste_vector,pairing_vector,recommendation_score
1,sku_000001,wine_0001,wine_now,domaine_atlas,wine,beverage,fine_wine,france,bordeaux,bordeaux_north,bordeaux_north_village,cabernet_sauvignon,red,light_red,,cherry,sushi,5.7,2011,750ml,entry,85,wine_spectator,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.56
2,sku_000002,wine_accessory_0002,wine_now,chateau_rivage,wine_accessory,accessory,wine_accessory,france,bordeaux,bordeaux_north,bordeaux_north_premier_cru,,,,,raspberry,,,,single_unit,premium,86,wine_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.57
3,sku_000003,glassware_0003,wine_now,cantina_luna,glassware,accessory,glassware,france,bordeaux,bordeaux_north,bordeaux_north_grand_cru,,,,,strawberry,,,,set_of_2,super_premium,87,decanter,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.58
4,sku_000004,whisky_0004,liq9,bodega_sol,whisky,beverage,spirits,france,bordeaux,bordeaux_south,bordeaux_south_village,,,,islay_single_malt,cranberry,,7.8,,750ml,luxury,88,jancis_robinson,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.59
5,sku_000005,gin_0005,liq9,distillery_north,gin,beverage,spirits,france,bordeaux,bordeaux_south,bordeaux_south_premier_cru,,,,,red_plum,,8.5,,750ml,entry,89,distiller,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.6
6,sku_000006,rum_0006,liq9,distillery_delta,rum,beverage,spirits,france,bordeaux,bordeaux_south,bordeaux_south_grand_cru,,,,,red_currant,,9.2,,750ml,premium,90,whisky_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.61
7,sku_000007,vodka_0007,liq9,brewery_harbor,vodka,beverage,spirits,france,bordeaux,bordeaux_east,bordeaux_east_village,,,,,pomegranate,,9.9,,750ml,super_premium,91,wine_spectator,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.62
8,sku_000008,tequila_0008,liq9,sake_house_kumo,tequila,beverage,spirits,france,bordeaux,bordeaux_east,bordeaux_east_premier_cru,,,,,wild_berry,,10.6,,750ml,luxury,92,wine_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.63
9,sku_000009,liqueur_0009,liq9,agave_fuego,liqueur,beverage,spirits,france,bordeaux,bordeaux_east,bordeaux_east_grand_cru,,,,,sour_cherry,,11.3,,750ml,entry,93,decanter,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.64
10,sku_000010,cognac_0010,liq9,spirit_house_orbit,cognac,beverage,spirits,france,bordeaux,bordeaux_west,bordeaux_west_village,,,,high_rye_bourbon,blackberry,,12.0,,750ml,premium,94,jancis_robinson,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.65
11,sku_000011,sake_0011,liq9,domaine_atlas,sake,beverage,spirits,france,bordeaux,bordeaux_west,bordeaux_west_premier_cru,,,,,black_cherry,,12.7,,750ml,super_premium,95,distiller,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.66
12,sku_000012,beer_0012,liq9,chateau_rivage,beer,beverage,spirits,france,bordeaux,bordeaux_west,bordeaux_west_grand_cru,,,,,blueberry,,13.4,,750ml,luxury,96,whisky_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.67
